BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,409.5,2016,DEER PARK
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485068,HAGUE QUALITY WATER OF MD INC,11/1/2016,11/30/2016,WATER,63,2016,HAGUE QUALITY WATER OF MD INC
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485069,HAGUE QUALITY WATER OF MD INC,12/1/2016,12/31/2016,WATER,63,2016,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/12/2017,AP,897252,QUENCH,12/17/2016,1/16/2017,WATER,38,2017,QUENCH
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/13/2017,AP,897251,QUENCH,1/1/2017,3/31/2017,WATER,74.91,2017,QUENCH
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,56.89,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,60.81,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,80.87,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,85.94,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,98.86,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,103.82,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,146.85,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,214.17,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,786.66,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,1486.34,2016,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/27/2017,AP,E0481881,HAGUE QUALITY WATER OF MD INC,12/20/2016,1/20/2017,WATER,189,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/30/2017,AP,898404,HAGUE QUALITY WATER OF MD INC,1/15/2017,2/14/2017,OFFICE SUPPLIES (OUTSIDE),59,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/2/2017,AP,901628,SWEETWATER,1/17/2017,1/17/2017,OFFICE SUPPLIES (OUTSIDE) QTY - 5,749.75,2017,SWEETWATER
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,56.89,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,60.81,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,80.87,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,98.86,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,103.82,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,137.95,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,177.83,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,197.16,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,718.67,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,1369.41,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/28/2017,AP,902555,HAGUE QUALITY WATER OF MD INC,2/15/2017,3/14/2017,WATER,59,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0491869,HAGUE QUALITY WATER OF MD INC,1/20/2017,2/20/2017,WATER,189,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/14/2017,AP,907952,DEER PARK,1/31/2017,1/31/2017,WATER,196.12,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/20/2017,AP,907902,QUENCH,2/17/2017,3/16/2017,WATER,38,2017,QUENCH
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/27/2017,AP,908015,HAGUE QUALITY WATER OF MD INC,3/14/2017,4/14/2017,OFFICE SUPPLIES (OUTSIDE),59,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,56.89,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,60.81,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,62.98,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,80.87,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,98.86,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,104.91,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,113.82,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,226.12,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,691.78,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,1577.37,2017,DEER PARK
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901832,TIDE WATER INDUSTRIES,9/28/2016,9/28/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 10,594,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901832,TIDE WATER INDUSTRIES,9/28/2016,9/28/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 12,876,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901832,TIDE WATER INDUSTRIES,9/28/2016,9/28/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 15,926.85,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901846,TIDE WATER INDUSTRIES,8/17/2016,8/17/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 5,99,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901846,TIDE WATER INDUSTRIES,8/17/2016,8/17/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 6,475.2,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/3/2017,AP,901846,TIDE WATER INDUSTRIES,8/17/2016,8/17/2016,OFFICE SUPPLIES (OUTSIDE) QTY - 10,792,2016,TIDE WATER INDUSTRIES
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/15/2017,AP,902386,QUENCH,1/17/2016,2/16/2017,WATER,38,2017,QUENCH
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/10/2017,AP,907822,HAGUE QUALITY WATER OF MD INC,2/20/2017,2/20/2017,WATER,248,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/16/2017,AP,907820,HAGUE QUALITY WATER OF MD INC,1/20/2017,1/20/2017,WATER,248,2017,HAGUE QUALITY WATER OF MD INC
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0498017,TIDE WATER INDUSTRIES,8/4/2016,8/4/2016,OFFICE SUPPLIES (OUTSIDE),3422.96,2016,TIDE WATER INDUSTRIES
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,8,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,8,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,15.94,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,32.95,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,46.91,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,50.9,2016,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,8,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,8,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,26.93,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,29.93,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,51.91,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,65.94,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,8,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,8,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,29.93,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,37.95,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,48.91,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,54.89,2017,DEER PARK
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/9/2017,AP,897060,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,126,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/9/2017,AP,897060,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,252,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/9/2017,AP,897060,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,315,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/24/2017,AP,900876,HAGUE QUALITY WATER OF MD INC,1/2/2017,2/1/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/6/2017,AP,902052,HAGUE QUALITY WATER OF MD INC,2/2/2017,2/2/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/6/2017,AP,902053,HAGUE QUALITY WATER OF MD INC,2/1/2017,2/1/2017,WATER,126,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/6/2017,AP,902053,HAGUE QUALITY WATER OF MD INC,2/1/2017,2/1/2017,WATER,189,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/6/2017,AP,902053,HAGUE QUALITY WATER OF MD INC,2/1/2017,2/1/2017,WATER,378,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/8/2017,AP,907477,HAGUE QUALITY WATER OF MD INC,3/2/2017,3/2/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/8/2017,AP,907483,HAGUE QUALITY WATER OF MD INC,3/1/2017,3/1/2017,WATER,126,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/8/2017,AP,907483,HAGUE QUALITY WATER OF MD INC,3/1/2017,3/1/2017,WATER,189,2017,HAGUE QUALITY WATER OF MD INC
,CLERK OF THE HOUSE,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/8/2017,AP,907483,HAGUE QUALITY WATER OF MD INC,3/1/2017,3/1/2017,WATER,378,2017,HAGUE QUALITY WATER OF MD INC
,OFFICE OF GENERAL COUNSEL,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/19/2017,AP,E0479160,READYREFRESH BY NESTLE,12/1/2016,12/31/2016,WATER,36.95,2016,READYREFRESH BY NESTLE
,OFFICE OF GENERAL COUNSEL,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,E0489964,READYREFRESH BY NESTLE,1/1/2017,1/31/2017,WATER,42.93,2017,READYREFRESH BY NESTLE
,OFFICE OF GENERAL COUNSEL,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/17/2017,AP,E0497185,READYREFRESH BY NESTLE,2/1/2017,2/28/2017,WATER,36.95,2017,READYREFRESH BY NESTLE
,OFFICE OF THE PARLIAMENTARIAN,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,37.92,2016,DEER PARK
,OFFICE OF THE PARLIAMENTARIAN,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,69.83,2017,DEER PARK
,OFFICE OF THE PARLIAMENTARIAN,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,22.95,2017,DEER PARK
,OFFICE OF INSPECTOR GENERAL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,148.75,2016,DEER PARK
,OFFICE OF INSPECTOR GENERAL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,163.75,2017,DEER PARK
,OFFICE OF INSPECTOR GENERAL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,148.75,2017,DEER PARK
,LAW REVISION COUNSEL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,1/13/2017,AP,E0477678,CRYSTAL SPRINGS,11/30/2016,12/22/2016,WATER,318.21,2016,CRYSTAL SPRINGS
,LAW REVISION COUNSEL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0486413,CRYSTAL SPRINGS,1/3/2017,1/19/2017,WATER,23.9,2017,CRYSTAL SPRINGS
,LAW REVISION COUNSEL,2017Q1,ADMIN AND OPS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0496871,CRYSTAL SPRINGS,1/31/2017,2/16/2017,WATER,213.93,2017,CRYSTAL SPRINGS
,SERGEANT AT ARMS,2017Q1,NON - PERSONNEL,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,800.31,2016,DEER PARK
